n,size,block_type,rt,acc,answer,changed_element,matrix_1,matrix_2
4,"[3, 3]",training,1.2220408916473389,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_3.png', 'images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_13.png']","['images/images/3_3.png', 'images/images/3_1.png', 'images/images/3_9.png', 'images/images/3_13.png']"
4,"[3, 3]",training,2.178896903991699,1,images/images/3_26.png,images/images/3_26.png,"['images/images/3_10.png', 'images/images/3_13.png', 'images/images/3_9.png', 'images/images/3_16.png']","['images/images/3_26.png', 'images/images/3_13.png', 'images/images/3_9.png', 'images/images/3_16.png']"
2,"[3, 3]",training,0.6627130508422852,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_9.png', 'images/images/3_10.png']","['images/images/3_3.png', 'images/images/3_10.png']"
2,"[3, 3]",training,1.107278823852539,1,images/images/3_10.png,images/images/3_10.png,"['images/images/3_26.png', 'images/images/3_9.png']","['images/images/3_10.png', 'images/images/3_9.png']"
6,"[3, 3]",training,1.3210201263427734,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_10.png', 'images/images/3_26.png', 'images/images/3_1.png', 'images/images/3_27.png']","['images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_10.png', 'images/images/3_16.png', 'images/images/3_1.png', 'images/images/3_27.png']"
6,"[3, 3]",training,1.479748010635376,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_9.png', 'images/images/3_26.png', 'images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_14.png']","['images/images/3_9.png', 'images/images/3_2.png', 'images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_14.png']"
5,"[3, 3]",experiment,1.188230037689209,1,images/images/3_14.png,images/images/3_14.png,"['images/images/3_13.png', 'images/images/3_16.png', 'images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_10.png']","['images/images/3_14.png', 'images/images/3_16.png', 'images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_10.png']"
3,"[3, 3]",experiment,1.1259710788726807,0,images/images/3_13.png,images/images/3_14.png,"['images/images/3_10.png', 'images/images/3_27.png', 'images/images/3_13.png']","['images/images/3_14.png', 'images/images/3_27.png', 'images/images/3_13.png']"
5,"[3, 3]",experiment,1.578674077987671,1,images/images/3_27.png,images/images/3_27.png,"['images/images/3_16.png', 'images/images/3_3.png', 'images/images/3_14.png', 'images/images/3_13.png', 'images/images/3_26.png']","['images/images/3_16.png', 'images/images/3_3.png', 'images/images/3_14.png', 'images/images/3_13.png', 'images/images/3_27.png']"
2,"[3, 3]",experiment,1.0354599952697754,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_13.png', 'images/images/3_1.png']","['images/images/3_3.png', 'images/images/3_1.png']"
2,"[3, 3]",experiment,1.022341012954712,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_26.png', 'images/images/3_16.png']","['images/images/3_26.png', 'images/images/3_9.png']"
