trigger_no,trigger_type,acc,n,block_type
1,fix_point,1,4,training
2,matrix_1,1,4,training
3,mask,1,4,training
4,matrix_2,1,4,training
5,answer,1,4,training
6,fix_point,1,4,training
7,matrix_1,1,4,training
8,mask,1,4,training
9,matrix_2,1,4,training
10,answer,1,4,training
11,fix_point,1,2,training
12,matrix_1,1,2,training
13,mask,1,2,training
14,matrix_2,1,2,training
15,answer,1,2,training
16,fix_point,1,2,training
17,matrix_1,1,2,training
18,mask,1,2,training
19,matrix_2,1,2,training
20,answer,1,2,training
21,fix_point,1,6,training
22,matrix_1,1,6,training
23,mask,1,6,training
24,matrix_2,1,6,training
25,answer,1,6,training
26,fix_point,1,6,training
27,matrix_1,1,6,training
28,mask,1,6,training
29,matrix_2,1,6,training
30,answer,1,6,training
31,fix_point,1,5,experiment
32,matrix_1,1,5,experiment
33,mask,1,5,experiment
34,matrix_2,1,5,experiment
35,answer,1,5,experiment
36,fix_point,0,3,experiment
37,matrix_1,0,3,experiment
38,mask,0,3,experiment
39,matrix_2,0,3,experiment
40,answer,0,3,experiment
41,fix_point,1,5,experiment
42,matrix_1,1,5,experiment
43,mask,1,5,experiment
44,matrix_2,1,5,experiment
45,answer,1,5,experiment
46,fix_point,1,2,experiment
47,matrix_1,1,2,experiment
48,mask,1,2,experiment
49,matrix_2,1,2,experiment
50,answer,1,2,experiment
51,fix_point,1,2,experiment
52,matrix_1,1,2,experiment
53,mask,1,2,experiment
54,matrix_2,1,2,experiment
55,answer,1,2,experiment
56,fix_point,1,2,experiment
57,matrix_1,1,2,experiment
58,mask,1,2,experiment
59,matrix_2,1,2,experiment
60,answer,1,2,experiment
1,fix_point,1,2,experiment
2,matrix_1,1,2,experiment
3,mask,1,2,experiment
4,matrix_2,1,2,experiment
5,answer,1,2,experiment
6,fix_point,1,5,experiment
7,matrix_1,1,5,experiment
8,mask,1,5,experiment
9,matrix_2,1,5,experiment
10,answer,1,5,experiment
11,fix_point,1,3,experiment
12,matrix_1,1,3,experiment
13,mask,1,3,experiment
14,matrix_2,1,3,experiment
15,answer,1,3,experiment
16,fix_point,1,4,experiment
17,matrix_1,1,4,experiment
18,mask,1,4,experiment
19,matrix_2,1,4,experiment
20,answer,1,4,experiment
21,fix_point,1,3,experiment
22,matrix_1,1,3,experiment
23,mask,1,3,experiment
24,matrix_2,1,3,experiment
25,answer,1,3,experiment
26,fix_point,1,2,experiment
27,matrix_1,1,2,experiment
28,mask,1,2,experiment
29,matrix_2,1,2,experiment
30,answer,1,2,experiment
31,fix_point,1,6,experiment
32,matrix_1,1,6,experiment
33,mask,1,6,experiment
34,matrix_2,1,6,experiment
35,answer,1,6,experiment
36,fix_point,1,6,experiment
37,matrix_1,1,6,experiment
38,mask,1,6,experiment
39,matrix_2,1,6,experiment
40,answer,1,6,experiment
41,fix_point,1,2,experiment
42,matrix_1,1,2,experiment
